id;priorite;sprint;titre;theme;probleme;preuve;reference_benchmark;action_concrete;effort_j;impact;critere_acceptation;dependances
R1.1;P0;S1;Supprimer les politiques RLS publiques sur contracts;Securite;"Lecture/ecriture anonyme des contrats bancaires (4 politiques TO public jamais supprimees)";supabase/migrations/20250615114558-*.sql:5-27;"Tous les CLM enterprise: RBAC par ligne cote base";Migration DROP POLICY + verification pg_policy;0.5;Critique;"GET /rest/v1/contracts sans JWT renvoie 401/[]";-
R1.2;P0;S1;Passer le bucket contract_files en prive + URLs signees;Securite;"Tout document de credit est accessible par URL publique";supabase/migrations/20250615191823-*.sql:8-12;"DocuSign/Ironclad: documents prives, acces trace";UPDATE storage.buckets SET public=false + policies par bank_id + createSignedUrl(60s);1;Critique;"Aucune URL publique ne repond; chaque telechargement est journalise";R1.1
R1.3;P0;S1;Bloquer l'auto-escalade de role via profiles;Securite;"Un utilisateur peut se promouvoir super_admin (FOR ALL sur son profil)";supabase/migrations/20250615194949-*.sql:94;"RBAC enterprise";Policies distinctes: self-update non sensible / admin-update;0.5;Critique;"PATCH role=super_admin par un user simple echoue";-
R1.4;P0;S1;Rendre la piste d'audit non falsifiable;Securite;"INSERT audit_logs ouvert a tout authentifie sans contrainte sur user_id/bank_id";supabase/migrations/20250615210615-*.sql:29-34;"eIDAS/SOC2: preuve attribuee par le serveur";REVOKE INSERT + fonction write_audit() SECURITY DEFINER;1;Critique;"Impossible d'ecrire un log au nom d'un autre utilisateur";-
R1.5;P0;S1;Fermer les INSERT anonymes (notifications, extractions IA);Securite;"Policies sans clause TO = applicables a PUBLIC dont anon";supabase/migrations/20250705115709-*.sql:127,191;"-";DROP POLICY + REVOKE + ecritures par triggers/functions;0.5;Eleve;"Insertion anonyme refusee";-
R1.6;P0;S1;Authentifier et limiter les Edge Functions IA;Securite;"CORS *, aucun controle d'auth, service_role utilise => cout OpenAI illimite ou feature morte (401)";functions/ai-assistant-chat/index.ts:5-16; functions/ai-contract-generator/index.ts:7-18;"Ironclad/Evisort: IA authentifiee, quota, journalisation des appels";verify_jwt=true + garde getUser() + quota/jour + CORS restreint a l'origine + suppression du client service_role;1.5;Critique;"401 sans JWT, 429 au-dela du quota, aucun service_role";R1.8
R1.7;P0;S1;Sortir URL et cle Supabase du code + rotation;Securite;"Cle anon et URLs codees en dur dans le depot (3 endroits)";integrations/supabase/client.ts:5-6; AiAssistantSheet.tsx:62; AiContractGenerator.tsx:88;"12-factor";.env + .env.example + import.meta.env + rotation de la cle exposee;0.5;Eleve;"git grep de la cle = 0 resultat";-
R1.8;P0;S1;Supprimer l'admin code en dur par e-mail personnel;Securite;"Le role admin est deduit d'un e-mail hardcode";contexts/AuthContext.tsx:119;"RBAC";Lire profiles.role uniquement;0.2;Eleve;"Aucun e-mail dans le code";-
R1.9;P0;S1;Ajouter les en-tetes de securite HTTP (CSP, HSTS, nosniff, frame-ancestors);Securite;"Aucun header de securite configure";absence de fichier de config hebergement;"SOC2 / exigences RSSI";Fichier headers de l'hebergeur + CSP stricte;0.3;Eleve;"Headers presents en production (curl -I)";-
R2.1;P0;S2;Unifier le cycle de vie des statuts (enum unique + mapping + transitions);Donnees;"3 vocabulaires incompatibles; la contrainte CHECK rejette le statut par defaut de l'app => creation cassee";lib/contract-helpers.ts:19-31 vs ContractTable.tsx:38-70 vs migrations/20250705115709-*.sql:102-104;"Ironclad: etapes de workflow explicites; LinkSquares: metadonnees normalisees";CREATE TYPE contract_status + migration de donnees + table de transitions + src/lib/contract-status.ts comme source unique;1.5;Critique;"Creation de contrat OK; 0 statut code en dur hors du fichier de reference";-
R2.2;P0;S2;Reference de decision par banque et sans course critique;Donnees;"UNIQUE global + MAX()+1 sans verrou => collisions inter-banques et doublons en concurrence";migrations/20250611054323-*.sql:5,51-68;"-";UNIQUE(bank_id, reference_decision) + sequence/verrou par banque;0.5;Eleve;"20 inserts paralleles sur 2 banques: 0 doublon";R2.1
